sample_name,source_name,Strain,sex,age
DGRP_Line_45_Female_SAMN22426999,DGRP Line 45 Female,DGRP_45,female,adult
DGRP_Line_45_Female_SAMN22427000,DGRP Line 45 Female,DGRP_45,female,adult
DGRP_Line_45_Male_SAMN22427001,DGRP Line 45 Male,DGRP_45,male,adult
DGRP_Line_45_Male_SAMN22427019,DGRP Line 45 Male,DGRP_45,male,adult
DGRP_Line_461_Female_SAMN22427144,DGRP Line 461 Female,DGRP_461,female,adult
DGRP_Line_461_Female_SAMN22427020,DGRP Line 461 Female,DGRP_461,female,adult
DGRP_Line_461_Male_SAMN22427021,DGRP Line 461 Male,DGRP_461,male,adult
DGRP_Line_461_Male_SAMN22427022,DGRP Line 461 Male,DGRP_461,male,adult
DGRP_Line_486_Female_SAMN22427023,DGRP Line 486 Female,DGRP_486,female,adult
DGRP_Line_486_Female_SAMN22427024,DGRP Line 486 Female,DGRP_486,female,adult
DGRP_Line_486_Male_SAMN22427025,DGRP Line 486 Male,DGRP_486,male,adult
DGRP_Line_486_Male_SAMN22427143,DGRP Line 486 Male,DGRP_486,male,adult
DGRP_Line_49_Female_SAMN22427145,DGRP Line 49 Female,DGRP_49,female,adult
DGRP_Line_49_Female_SAMN22427146,DGRP Line 49 Female,DGRP_49,female,adult
DGRP_Line_49_Male_SAMN22427147,DGRP Line 49 Male,DGRP_49,male,adult
DGRP_Line_49_Male_SAMN22427148,DGRP Line 49 Male,DGRP_49,male,adult
DGRP_Line_505_Female_SAMN22427133,DGRP Line 505 Female,DGRP_505,female,adult
DGRP_Line_505_Female_SAMN22427134,DGRP Line 505 Female,DGRP_505,female,adult
DGRP_Line_505_Male_SAMN22427135,DGRP Line 505 Male,DGRP_505,male,adult
DGRP_Line_505_Male_SAMN22427136,DGRP Line 505 Male,DGRP_505,male,adult
DGRP_Line_513_Female_SAMN22427137,DGRP Line 513 Female,DGRP_513,female,adult
DGRP_Line_513_Female_SAMN22427138,DGRP Line 513 Female,DGRP_513,female,adult
DGRP_Line_513_Male_SAMN22427139,DGRP Line 513 Male,DGRP_513,male,adult
DGRP_Line_513_Male_SAMN22427140,DGRP Line 513 Male,DGRP_513,male,adult
DGRP_Line_517_Female_SAMN22427141,DGRP Line 517 Female,DGRP_517,female,adult
DGRP_Line_517_Female_SAMN22427142,DGRP Line 517 Female,DGRP_517,female,adult
DGRP_Line_517_Male_SAMN22427102,DGRP Line 517 Male,DGRP_517,male,adult
DGRP_Line_517_Male_SAMN22427103,DGRP Line 517 Male,DGRP_517,male,adult
DGRP_Line_530_Female_SAMN22427104,DGRP Line 530 Female,DGRP_530,female,adult
DGRP_Line_530_Female_SAMN22427109,DGRP Line 530 Female,DGRP_530,female,adult
DGRP_Line_530_Male_SAMN22427110,DGRP Line 530 Male,DGRP_530,male,adult
DGRP_Line_530_Male_SAMN22427111,DGRP Line 530 Male,DGRP_530,male,adult
DGRP_Line_555_Female_SAMN22427112,DGRP Line 555 Female,DGRP_555,female,adult
DGRP_Line_555_Female_SAMN22427113,DGRP Line 555 Female,DGRP_555,female,adult
DGRP_Line_555_Male_SAMN22427114,DGRP Line 555 Male,DGRP_555,male,adult
DGRP_Line_555_Male_SAMN22427106,DGRP Line 555 Male,DGRP_555,male,adult
DGRP_Line_57_Female_SAMN22427107,DGRP Line 57 Female,DGRP_57,female,adult
DGRP_Line_57_Female_SAMN22427108,DGRP Line 57 Female,DGRP_57,female,adult
DGRP_Line_57_Male_SAMN22427115,DGRP Line 57 Male,DGRP_57,male,adult
DGRP_Line_57_Male_SAMN22427116,DGRP Line 57 Male,DGRP_57,male,adult
DGRP_Line_589_Female_SAMN22427117,DGRP Line 589 Female,DGRP_589,female,adult
DGRP_Line_589_Female_SAMN22427118,DGRP Line 589 Female,DGRP_589,female,adult
DGRP_Line_589_Male_SAMN22427119,DGRP Line 589 Male,DGRP_589,male,adult
DGRP_Line_589_Male_SAMN22427120,DGRP Line 589 Male,DGRP_589,male,adult
DGRP_Line_596_Female_SAMN22427121,DGRP Line 596 Female,DGRP_596,female,adult
DGRP_Line_596_Female_SAMN22427122,DGRP Line 596 Female,DGRP_596,female,adult
DGRP_Line_596_Male_SAMN22427123,DGRP Line 596 Male,DGRP_596,male,adult
DGRP_Line_596_Male_SAMN22427124,DGRP Line 596 Male,DGRP_596,male,adult
DGRP_Line_59_Female_SAMN22427125,DGRP Line 59 Female,DGRP_59,female,adult
DGRP_Line_59_Female_SAMN22427126,DGRP Line 59 Female,DGRP_59,female,adult
DGRP_Line_59_Male_SAMN22427127,DGRP Line 59 Male,DGRP_59,male,adult
DGRP_Line_59_Male_SAMN22427128,DGRP Line 59 Male,DGRP_59,male,adult
DGRP_Line_703_Female_SAMN22427129,DGRP Line 703 Female,DGRP_703,female,adult
DGRP_Line_703_Female_SAMN22427130,DGRP Line 703 Female,DGRP_703,female,adult
DGRP_Line_703_Male_SAMN22427131,DGRP Line 703 Male,DGRP_703,male,adult
DGRP_Line_703_Male_SAMN22427132,DGRP Line 703 Male,DGRP_703,male,adult
DGRP_Line_705_Female_SAMN22427056,DGRP Line 705 Female,DGRP_705,female,adult
DGRP_Line_705_Female_SAMN22427057,DGRP Line 705 Female,DGRP_705,female,adult
DGRP_Line_705_Male_SAMN22427058,DGRP Line 705 Male,DGRP_705,male,adult
DGRP_Line_705_Male_SAMN22427059,DGRP Line 705 Male,DGRP_705,male,adult
DGRP_Line_707_Female_SAMN22427060,DGRP Line 707 Female,DGRP_707,female,adult
DGRP_Line_707_Female_SAMN22427061,DGRP Line 707 Female,DGRP_707,female,adult
DGRP_Line_707_Male_SAMN22427062,DGRP Line 707 Male,DGRP_707,male,adult
DGRP_Line_707_Male_SAMN22427064,DGRP Line 707 Male,DGRP_707,male,adult
DGRP_Line_712_Female_SAMN22427067,DGRP Line 712 Female,DGRP_712,female,adult
DGRP_Line_712_Female_SAMN22427069,DGRP Line 712 Female,DGRP_712,female,adult
DGRP_Line_712_Male_SAMN22427070,DGRP Line 712 Male,DGRP_712,male,adult
DGRP_Line_712_Male_SAMN22427072,DGRP Line 712 Male,DGRP_712,male,adult
DGRP_Line_716_Female_SAMN22427073,DGRP Line 716 Female,DGRP_716,female,adult
DGRP_Line_716_Female_SAMN22427075,DGRP Line 716 Female,DGRP_716,female,adult
DGRP_Line_716_Male_SAMN22427077,DGRP Line 716 Male,DGRP_716,male,adult
DGRP_Line_716_Male_SAMN22427078,DGRP Line 716 Male,DGRP_716,male,adult
DGRP_Line_721_Female_SAMN22427080,DGRP Line 721 Female,DGRP_721,female,adult
DGRP_Line_721_Female_SAMN22427081,DGRP Line 721 Female,DGRP_721,female,adult
DGRP_Line_721_Male_SAMN22427083,DGRP Line 721 Male,DGRP_721,male,adult
DGRP_Line_721_Male_SAMN22427084,DGRP Line 721 Male,DGRP_721,male,adult
DGRP_Line_727_Female_SAMN22427087,DGRP Line 727 Female,DGRP_727,female,adult
DGRP_Line_727_Female_SAMN22427088,DGRP Line 727 Female,DGRP_727,female,adult
DGRP_Line_727_Male_SAMN22427089,DGRP Line 727 Male,DGRP_727,male,adult
DGRP_Line_727_Male_SAMN22427091,DGRP Line 727 Male,DGRP_727,male,adult
DGRP_Line_730_Female_SAMN22427093,DGRP Line 730 Female,DGRP_730,female,adult
DGRP_Line_730_Female_SAMN22427095,DGRP Line 730 Female,DGRP_730,female,adult
DGRP_Line_730_Male_SAMN22427096,DGRP Line 730 Male,DGRP_730,male,adult
DGRP_Line_730_Male_SAMN22427098,DGRP Line 730 Male,DGRP_730,male,adult
DGRP_Line_73_Female_SAMN22427099,DGRP Line 73 Female,DGRP_73,female,adult
DGRP_Line_73_Female_SAMN22427100,DGRP Line 73 Female,DGRP_73,female,adult
DGRP_Line_73_Male_SAMN22427149,DGRP Line 73 Male,DGRP_73,male,adult
DGRP_Line_73_Male_SAMN22427150,DGRP Line 73 Male,DGRP_73,male,adult
DGRP_Line_748_Female_SAMN22427151,DGRP Line 748 Female,DGRP_748,female,adult
DGRP_Line_748_Female_SAMN22427152,DGRP Line 748 Female,DGRP_748,female,adult
DGRP_Line_748_Male_SAMN22427153,DGRP Line 748 Male,DGRP_748,male,adult
DGRP_Line_748_Male_SAMN22427154,DGRP Line 748 Male,DGRP_748,male,adult
DGRP_Line_75_Female_SAMN22427157,DGRP Line 75 Female,DGRP_75,female,adult
DGRP_Line_75_Female_SAMN22427158,DGRP Line 75 Female,DGRP_75,female,adult
DGRP_Line_75_Male_SAMN22427159,DGRP Line 75 Male,DGRP_75,male,adult
DGRP_Line_75_Male_SAMN22427155,DGRP Line 75 Male,DGRP_75,male,adult
DGRP_Line_761_Female_SAMN22427156,DGRP Line 761 Female,DGRP_761,female,adult
DGRP_Line_761_Female_SAMN22427160,DGRP Line 761 Female,DGRP_761,female,adult
DGRP_Line_761_Male_SAMN22427161,DGRP Line 761 Male,DGRP_761,male,adult
DGRP_Line_761_Male_SAMN22427162,DGRP Line 761 Male,DGRP_761,male,adult
DGRP_Line_765_Female_SAMN22427163,DGRP Line 765 Female,DGRP_765,female,adult
DGRP_Line_765_Female_SAMN22427164,DGRP Line 765 Female,DGRP_765,female,adult
DGRP_Line_765_Male_SAMN22427166,DGRP Line 765 Male,DGRP_765,male,adult
DGRP_Line_783_Female_SAMN22427167,DGRP Line 783 Female,DGRP_783,female,adult
DGRP_Line_783_Female_SAMN22427168,DGRP Line 783 Female,DGRP_783,female,adult
DGRP_Line_783_Male_SAMN22427169,DGRP Line 783 Male,DGRP_783,male,adult
DGRP_Line_783_Male_SAMN22427170,DGRP Line 783 Male,DGRP_783,male,adult
DGRP_Line_786_Female_SAMN22426949,DGRP Line 786 Female,DGRP_786,female,adult
DGRP_Line_786_Female_SAMN22426950,DGRP Line 786 Female,DGRP_786,female,adult
DGRP_Line_786_Male_SAMN22426951,DGRP Line 786 Male,DGRP_786,male,adult
DGRP_Line_786_Male_SAMN22426952,DGRP Line 786 Male,DGRP_786,male,adult
DGRP_Line_787_Female_SAMN22426953,DGRP Line 787 Female,DGRP_787,female,adult
DGRP_Line_787_Female_SAMN22426954,DGRP Line 787 Female,DGRP_787,female,adult
DGRP_Line_787_Male_SAMN22426955,DGRP Line 787 Male,DGRP_787,male,adult
DGRP_Line_787_Male_SAMN22426956,DGRP Line 787 Male,DGRP_787,male,adult
DGRP_Line_790_Female_SAMN22426957,DGRP Line 790 Female,DGRP_790,female,adult
DGRP_Line_790_Female_SAMN22426958,DGRP Line 790 Female,DGRP_790,female,adult
DGRP_Line_790_Male_SAMN22426959,DGRP Line 790 Male,DGRP_790,male,adult
DGRP_Line_790_Male_SAMN22426960,DGRP Line 790 Male,DGRP_790,male,adult
DGRP_Line_799_Female_SAMN22426961,DGRP Line 799 Female,DGRP_799,female,adult
DGRP_Line_799_Female_SAMN22426962,DGRP Line 799 Female,DGRP_799,female,adult
DGRP_Line_799_Male_SAMN22426963,DGRP Line 799 Male,DGRP_799,male,adult
DGRP_Line_799_Male_SAMN22426964,DGRP Line 799 Male,DGRP_799,male,adult
DGRP_Line_801_Female_SAMN22426965,DGRP Line 801 Female,DGRP_801,female,adult
DGRP_Line_801_Female_SAMN22426966,DGRP Line 801 Female,DGRP_801,female,adult
DGRP_Line_801_Male_SAMN22426967,DGRP Line 801 Male,DGRP_801,male,adult
DGRP_Line_801_Male_SAMN22426968,DGRP Line 801 Male,DGRP_801,male,adult
DGRP_Line_804_Female_SAMN22426969,DGRP Line 804 Female,DGRP_804,female,adult
DGRP_Line_804_Female_SAMN22426970,DGRP Line 804 Female,DGRP_804,female,adult
DGRP_Line_804_Male_SAMN22426971,DGRP Line 804 Male,DGRP_804,male,adult
DGRP_Line_804_Male_SAMN22426972,DGRP Line 804 Male,DGRP_804,male,adult
DGRP_Line_805_Female_SAMN22426973,DGRP Line 805 Female,DGRP_805,female,adult
DGRP_Line_805_Female_SAMN22426974,DGRP Line 805 Female,DGRP_805,female,adult
DGRP_Line_805_Male_SAMN22426975,DGRP Line 805 Male,DGRP_805,male,adult
DGRP_Line_805_Male_SAMN22426976,DGRP Line 805 Male,DGRP_805,male,adult
DGRP_Line_808_Female_SAMN22426977,DGRP Line 808 Female,DGRP_808,female,adult
DGRP_Line_808_Female_SAMN22426978,DGRP Line 808 Female,DGRP_808,female,adult
DGRP_Line_808_Male_SAMN22427171,DGRP Line 808 Male,DGRP_808,male,adult
DGRP_Line_808_Male_SAMN22427172,DGRP Line 808 Male,DGRP_808,male,adult
DGRP_Line_820_Female_SAMN22427173,DGRP Line 820 Female,DGRP_820,female,adult
DGRP_Line_820_Female_SAMN22427174,DGRP Line 820 Female,DGRP_820,female,adult
DGRP_Line_820_Male_SAMN22427175,DGRP Line 820 Male,DGRP_820,male,adult
DGRP_Line_820_Male_SAMN22427176,DGRP Line 820 Male,DGRP_820,male,adult
DGRP_Line_822_Female_SAMN22427177,DGRP Line 822 Female,DGRP_822,female,adult
DGRP_Line_822_Female_SAMN22427178,DGRP Line 822 Female,DGRP_822,female,adult
DGRP_Line_822_Male_SAMN22427179,DGRP Line 822 Male,DGRP_822,male,adult
DGRP_Line_822_Male_SAMN22427180,DGRP Line 822 Male,DGRP_822,male,adult
DGRP_Line_837_Female_SAMN22427183,DGRP Line 837 Female,DGRP_837,female,adult
DGRP_Line_837_Female_SAMN22427184,DGRP Line 837 Female,DGRP_837,female,adult
DGRP_Line_837_Male_SAMN22427185,DGRP Line 837 Male,DGRP_837,male,adult
DGRP_Line_837_Male_SAMN22427186,DGRP Line 837 Male,DGRP_837,male,adult
DGRP_Line_83_Female_SAMN22427187,DGRP Line 83 Female,DGRP_83,female,adult
DGRP_Line_83_Female_SAMN22427188,DGRP Line 83 Female,DGRP_83,female,adult
DGRP_Line_83_Male_SAMN22427189,DGRP Line 83 Male,DGRP_83,male,adult
DGRP_Line_83_Male_SAMN22427181,DGRP Line 83 Male,DGRP_83,male,adult
DGRP_Line_843_Female_SAMN22427182,DGRP Line 843 Female,DGRP_843,female,adult
DGRP_Line_843_Female_SAMN22427190,DGRP Line 843 Female,DGRP_843,female,adult
DGRP_Line_843_Male_SAMN22427191,DGRP Line 843 Male,DGRP_843,male,adult
DGRP_Line_843_Male_SAMN22427192,DGRP Line 843 Male,DGRP_843,male,adult
DGRP_Line_849_Female_SAMN22427193,DGRP Line 849 Female,DGRP_849,female,adult
DGRP_Line_849_Female_SAMN22427194,DGRP Line 849 Female,DGRP_849,female,adult
DGRP_Line_849_Male_SAMN22427195,DGRP Line 849 Male,DGRP_849,male,adult
DGRP_Line_849_Male_SAMN22427196,DGRP Line 849 Male,DGRP_849,male,adult
DGRP_Line_850_Female_SAMN22427197,DGRP Line 850 Female,DGRP_850,female,adult
DGRP_Line_850_Female_SAMN22427232,DGRP Line 850 Female,DGRP_850,female,adult
DGRP_Line_850_Male_SAMN22427233,DGRP Line 850 Male,DGRP_850,male,adult
DGRP_Line_850_Male_SAMN22427234,DGRP Line 850 Male,DGRP_850,male,adult
DGRP_Line_852_Female_SAMN22427235,DGRP Line 852 Female,DGRP_852,female,adult
DGRP_Line_852_Female_SAMN22427236,DGRP Line 852 Female,DGRP_852,female,adult
DGRP_Line_852_Male_SAMN22427237,DGRP Line 852 Male,DGRP_852,male,adult
DGRP_Line_852_Male_SAMN22427238,DGRP Line 852 Male,DGRP_852,male,adult
DGRP_Line_882_Female_SAMN22427239,DGRP Line 882 Female,DGRP_882,female,adult
DGRP_Line_882_Female_SAMN22427240,DGRP Line 882 Female,DGRP_882,female,adult
DGRP_Line_882_Male_SAMN22427241,DGRP Line 882 Male,DGRP_882,male,adult
DGRP_Line_882_Male_SAMN22427198,DGRP Line 882 Male,DGRP_882,male,adult
DGRP_Line_890_Female_SAMN22427199,DGRP Line 890 Female,DGRP_890,female,adult
DGRP_Line_890_Female_SAMN22427200,DGRP Line 890 Female,DGRP_890,female,adult
DGRP_Line_890_Male_SAMN22427201,DGRP Line 890 Male,DGRP_890,male,adult
DGRP_Line_890_Male_SAMN22427202,DGRP Line 890 Male,DGRP_890,male,adult
DGRP_Line_897_Female_SAMN22428083,DGRP Line 897 Female,DGRP_897,female,adult
DGRP_Line_897_Female_SAMN22428085,DGRP Line 897 Female,DGRP_897,female,adult
DGRP_Line_897_Male_SAMN22428086,DGRP Line 897 Male,DGRP_897,male,adult
DGRP_Line_897_Male_SAMN22428088,DGRP Line 897 Male,DGRP_897,male,adult
DGRP_Line_900_Female_SAMN22428089,DGRP Line 900 Female,DGRP_900,female,adult
DGRP_Line_900_Female_SAMN22428090,DGRP Line 900 Female,DGRP_900,female,adult
DGRP_Line_900_Male_SAMN22428091,DGRP Line 900 Male,DGRP_900,male,adult
DGRP_Line_900_Male_SAMN22428092,DGRP Line 900 Male,DGRP_900,male,adult
DGRP_Line_911_Female_SAMN22428093,DGRP Line 911 Female,DGRP_911,female,adult
DGRP_Line_911_Female_SAMN22428094,DGRP Line 911 Female,DGRP_911,female,adult
DGRP_Line_911_Male_SAMN22428095,DGRP Line 911 Male,DGRP_911,male,adult
DGRP_Line_911_Male_SAMN22427243,DGRP Line 911 Male,DGRP_911,male,adult
DGRP_Line_427_Male_SAMN22426985,DGRP Line 427 Male,DGRP_427,male,adult
DGRP_Line_765_Male_SAMN22427165,DGRP Line 765 Male,DGRP_765,male,adult
